"Meter Number","Meter Name","Meter Date","Voltage 1","Current 1 (Amps 1)"
"10009540","Meter 9540","=""2018-12-12 12:40:42""","129.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:43""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:44""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:45""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:46""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:40:47""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:40:48""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:40:49""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:50""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:51""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:52""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:40:53""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:54""","130.20","0"
"10009540","Meter 9540","=""2018-12-12 12:40:55""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:56""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:40:57""","130.10","0"
"10009540","Meter 9540","=""2018-12-12 12:40:58""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:40:59""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:41:00""","130.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:01""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:02""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:41:03""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:41:04""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:41:05""","129.90","0"
"10009540","Meter 9540","=""2018-12-12 12:41:06""","129.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:07""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:41:08""","129.20","0"
"10009540","Meter 9540","=""2018-12-12 12:41:09""","129.00","0"
"10009540","Meter 9540","=""2018-12-12 12:41:10""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:11""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:12""","128.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:13""","128.90","0"
"10009540","Meter 9540","=""2018-12-12 12:41:14""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:41:15""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:41:16""","129.30","0"
"10009540","Meter 9540","=""2018-12-12 12:41:17""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:41:18""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:41:19""","129.60","0"
"10009540","Meter 9540","=""2018-12-12 12:41:20""","129.50","0"
"10009540","Meter 9540","=""2018-12-12 12:41:21""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:41:22""","129.40","0"
"10009540","Meter 9540","=""2018-12-12 12:41:23""","129.70","0"
"10009540","Meter 9540","=""2018-12-12 12:41:24""","129.80","0"
"10009540","Meter 9540","=""2018-12-12 12:41:25""","129.30","0"
