"Meter Number","Meter Name","Meter Date","Meter Day of Week","Total Kilowatt Hour","Total Kilowatt Hour T1 (TOU1)","Voltage 1","Current 1 (Amps 1)","Total Kilowatt Hour L1","Current Direction L1","Decimal Places"
"10009540","Meter 9540","=""2018-12-12 12:38:15""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:17""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:19""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:21""","4","478.9","457.0","131.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:23""","4","478.9","457.0","131.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:25""","4","478.9","457.0","130.80","0.6","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:27""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:29""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:31""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:33""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:35""","4","478.9","457.0","128.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:37""","4","478.9","457.0","129.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:39""","4","478.9","457.0","129.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:41""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:43""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:45""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:47""","4","478.9","457.0","128.10","5.2","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:49""","4","478.9","457.0","129.80","1.6","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:51""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:53""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:55""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:57""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:38:59""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:01""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:03""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:05""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:07""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:09""","4","478.9","457.0","130.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:11""","4","478.9","457.0","131.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:13""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:15""","4","478.9","457.0","131.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:17""","4","478.9","457.0","130.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:19""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:21""","4","478.9","457.0","130.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:23""","4","478.9","457.0","130.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:25""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:27""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:29""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:31""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:33""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:35""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:37""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:39""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:41""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:43""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:45""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:47""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:49""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:52""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:54""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:56""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:39:58""","4","478.9","457.0","130.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:00""","4","478.9","457.0","130.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:02""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:04""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:06""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:08""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:11""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:13""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:15""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:17""","4","478.9","457.0","129.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:19""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:21""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:23""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:25""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:27""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:28""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:29""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:30""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:31""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:32""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:33""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:34""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:35""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:36""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:37""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:38""","4","478.9","457.0","129.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:39""","4","478.9","457.0","129.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:40""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:41""","4","478.9","457.0","129.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:42""","4","478.9","457.0","129.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:43""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:44""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:45""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:46""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:47""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:48""","4","478.9","457.0","129.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:49""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:50""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:51""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:52""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:53""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:54""","4","478.9","457.0","130.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:55""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:56""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:57""","4","478.9","457.0","130.10","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:58""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:40:59""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:00""","4","478.9","457.0","130.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:01""","4","478.9","457.0","129.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:02""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:03""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:04""","4","478.9","457.0","129.70","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:05""","4","478.9","457.0","129.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:06""","4","478.9","457.0","129.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:07""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:08""","4","478.9","457.0","129.20","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:09""","4","478.9","457.0","129.00","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:10""","4","478.9","457.0","128.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:11""","4","478.9","457.0","128.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:12""","4","478.9","457.0","128.80","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:13""","4","478.9","457.0","128.90","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:14""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:15""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:16""","4","478.9","457.0","129.30","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:17""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:18""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:19""","4","478.9","457.0","129.60","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:20""","4","478.9","457.0","129.50","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:21""","4","478.9","457.0","129.40","0","","",""
"10009540","Meter 9540","=""2018-12-12 12:41:22""","4","478.9","457.0","129.40","0","","",""
